id,name,country,lat,lon
YUL,Pierre E. Trudeau Intl,Canada,"45,463902","-73,750000"
RUH,King Khalid Intl,Saudi Arabia,"24,959200","46,696098"
DFW,Dallas/Ft Worth Intl,United States,"32,896400","-97,041100"
BOM,Mumbai (Chhatrapati Shivaji) International,India,"19,088100","72,851700"
OTP,Henri Coanda Airport,Romania,"44,566700","26,100000"
HAM,Hamburg,Germany,"53,633900","9,995000"
ALC,Alicante Airport,Spain,"38,282501","-0,558300"
HAN,Noi Bai International,Vietnam,"21,035801","105,889999"
EZE,Ministro Pistarini,Argentina,"-34,820000","-58,533901"
JNB,O.R. Tambo International Airport,South Africa,"-26,140301","28,242800"
LIM,Jorge Chavez Intl,Peru,"-12,026700","-77,122803"
MEL,Melbourne Airport,Australia,"-37,661701","144,833298"
SCL,Arturo Merino Benitez Airport,Chile,"-33,386700","-70,785004"
AKL,Auckland Intl,New Zealand,"-37,011101","174,799194"
BHX,Birmingham Airport,United Kingdom,"52,453098","-1,746400"
BOG,El Dorado Intl,Colombia,"4,706100","-74,142197"
SHJ,Sharjah,United Arab Emirates,"25,345800","55,395802"
BAH,Bahrain Intl,Bahrain,"26,270800","50,637501"
DME,Domodedovo,Russian Federation,"55,400002","37,883301"
CMN,Mohammed V,Morocco,"33,366699","-7,586700"
KBP,Boryspil International,Ukraine,"50,337399","30,894199"
CMB,Bandaranaike Intl,Sri Lanka,"7,175000","79,884697"
FLL,Ft Lauderdale Intl,United States,"26,074200","-80,151703"
OPO,Porto,Portugal,"41,238098","-8,674700"
HKT,Phuket Intl,Thailand,"8,110600","98,312500"
SXF,Schoenefeld,Germany,"52,500000","13,508300"
VCE,Marco Polo,Italy,"45,500000","12,350000"
NCE,Cote D'Azur,France,"43,663898","7,217500"
PUS,Gimhae Intl,South Korea,"35,170799","129,130600"
IAD,Dulles International,United States,"38,941700","-77,457497"
STR,Stuttgart Airport,Germany,"48,688301","9,210000"
AMM,Queen Alia Intl,Jordan,"31,716999","36,000000"
BOS,Logan International,United States,"42,363602","-71,006104"
BGY,Bergamo/Orio Al Serio,Italy,"45,668301","9,700300"
BEY,Rafic Hariri International,Lebanon,"33,812801","35,490299"
EDI,Turnhouse,United Kingdom,"55,948601","-3,350300"
CGN,Cologne/Bonn Airport,Germany,"50,865799","7,141900"
TFS,Tenerife-Sur,Spain,"28,042801","-16,570601"
DAC,Hazrat Shahjalal International,Bangladesh,"23,780600","90,386101"
BSL,EuroAirport Swiss,Switzerland,"47,590302","7,530300"
MFM,Macau International,Macau (SAR),"22,233299","113,583298"
LYS,Satolas,France,"45,725601","5,081700"
NGO,Chubu Centrair Intl,Japan,"34,859001","136,814499"
MCO,Orlando Intl,United States,"28,431700","-81,324699"
RIX,Riga-Arpt Internaitonal,Latvia,"57,016701","24,049999"
FAO,Faro,Portugal,"37,014400","-7,970800"
NBO,Jomo Kenyatta Intl,Kenya,"-1,316700","36,930801"
CRL,Brussels S. Charleroi,Belgium,"50,459202","4,453900"
IKA,Imam Khomeini International,Iran,"35,409698","51,150799"
VKO,Vnukovo,Russian Federation,"55,583302","37,266701"
KRK,John Paul Ii Balice In,Poland,"50,083302","19,783300"
BLQ,Guglielmo Marconi,Italy,"44,530602","11,292500"
MLA,Luqa International,Malta,"35,836700","14,547200"
KEF,Keflavik Intl,Iceland,"63,985298","-22,604200"
BRS,Bristol Airport,United Kingdom,"51,381699","-2,708900"
CTU,Shuangliu International,China,"30,580000","103,949997"
PUJ,Punta Cana International,Dominican Republic,"18,566700","-68,383301"
NAP,Capodichino,Italy,"40,886101","14,291700"
LCA,Larnaca,Cyprus,"34,877800","33,630600"
SEA,Seattle-Tacoma Intl,United States,"47,449200","-122,308098"
BNE,Brisbane Intl,Australia,"-27,385000","153,116303"
FUK,Fukuoka,Japan,"33,582199","130,453293"
TUN,Carthage,Tunisia,"36,852501","10,229400"
PNH,Phnom Penh International,Cambodia,"11,546100","104,847801"
DAD,Da Nang International,Vietnam,"16,042200","108,203598"
SJO,Juan Santamaria Intl,Costa Rica,"9,993900","-84,208900"
LED,Pulkovo,Russian Federation,"59,799999","30,299999"
SZX,Bao'an International,China,"22,549999","113,916702"
SOF,Sofia-Vrazhdebna,Bulgaria,"42,700001","23,400000"
MRS,Marignane,France,"43,435600","5,216400"
ALG,Houari Boumediene,Algeria,"36,693298","3,217200"
HAV,Jose Marti Intl,Cuba,"22,989401","-82,407501"
DTW,Metropolitan Wayne County,United States,"42,216702","-83,344399"
BEG,Nikola Tesla Airport,Serbia,"44,819199","20,312201"
YYC,Calgary Intl,Canada,"51,112801","-114,019699"
VLC,Valencia Airport,Spain,"39,488602","-0,481900"
CIA,Ciampino,Italy,"41,799400","12,593300"
EIN,Eindhoven,Netherlands,"51,453300","5,388900"
PHL,Philadelphia Intl,United States,"39,868099","-75,248596"
MAA,Chennai International Airport,India,"12,993300","80,176903"
RAK,Menara,Morocco,"31,608299","-8,038300"
KHH,Kaohsiung Intl,Taiwan,"22,572500","120,345299"
HNL,Honolulu Intl,United States,"21,321899","-157,925293"
MSP,Minneapolis International,United States,"44,886101","-93,217796"
MBJ,Sangster Intl,Jamaica,"18,501900","-77,912498"
AUA,Reina Beatrix,Aruba,"12,502200","-70,013901"
HGH,Xiaoshan International,China,"30,236000","120,438904"
GOT,Goteborg-Landvetter Airport,Sweden,"57,666698","12,283300"
KMG,Changshui International,China,"25,103901","102,942802"
LPA,Gran Canaria,Spain,"27,931900","-15,383300"
SAL,El Salvador Intl,El Salvador,"13,440000","-89,059998"
HAJ,Hannover,Germany,"52,461102","9,685000"
DMM,King Fahad International Airport,Saudi Arabia,"26,466700","49,783298"
RGN,Yangon International,Myanmar,"16,906401","96,138901"
LUX,Findel,Luxembourg,"49,627800","6,206700"
LCY,City Airport,United Kingdom,"51,516701","-0,066700"
CLT,Charlotte-Douglas International Airport,United States,"35,219200","-80,935799"
BLR,Kempegowda International,India,"13,203000","77,705803"
TLS,Blagnac,France,"43,630001","1,363600"
KTM,Tribhuvan International,Nepal,"27,700600","85,363098"
MLE,Velana International,Maldives,"4,201400","73,524399"
GLA,Glasgow International,United Kingdom,"55,871700","-4,431900"
SDQ,Las Americas International,Dominican Republic,"18,429199","-69,669197"
GDN,Gdansk Lech Walesa,Poland,"54,366699","18,650000"
HER,Nikos Kazantzakis Airport,Greece,"35,339699","25,180300"
BOD,Bordeaux,France,"44,829399","-0,714400"
TAO,Liuting International,China,"36,266800","120,383003"
GDL,Miguel Hidalgo Intl,Mexico,"20,523899","-103,312500"
MED,Mohammad Bin Abdulaziz Airport,Saudi Arabia,"24,545000","39,721100"
MSQ,Minsk International,Belarus,"53,866699","27,533300"
VNO,Vilnius International,Lithuania,"54,633301","25,283300"
COK,Kochi International Airport,India,"9,944400","76,271896"
PER,Perth International,Australia,"-31,931700","115,968300"
SIP,Simferopol International,Ukraine,"45,016701","34,000000"
CEB,Mactan International,Philippines,"10,331700","123,906700"
SKG,Makedonia,Greece,"40,520802","22,972200"
GYD,Heydar Aliyev,Azerbaijan,"40,466599","50,052502"
KHI,Jinnah Intl,Pakistan,"24,905600","67,156899"
IBZ,Ibiza,Spain,"38,873600","1,372800"
SJD,Los Cabos Intl,Mexico,"23,155300","-109,724999"
NTE,Nantes Atlantique Airport,France,"47,158298","-1,609700"
GIG,Galeao-A.C.Jobim Intl,Brazil,"-22,807800","-43,243301"
PEN,Penang International,Malaysia,"5,289700","100,272499"
XMN,Gaoqi International,China,"24,466700","118,116699"
CTS,New Chitose,Japan,"42,795799","141,669205"
ACE,Lanzarote,Spain,"28,942499","-13,604700"
DEN,Denver International,United States,"39,858299","-104,666901"
GMP,Gimpo International,South Korea,"37,550301","126,783600"
EMA,East Midlands,United Kingdom,"52,830002","-1,329400"
NAS,Lynden Pindling Intl,Bahamas,"25,040600","-77,471901"
LAS,Mccarran Intl,United States,"36,079700","-115,158897"
TBS,Tbilisi International Airport,Georgia,"41,669399","44,955101"
MRU,Sir S. Ramgoolam International,Mauritius,"-20,427500","57,676399"
REP,Angkor International,Cambodia,"13,408900","103,815804"
ECN,Ercan,Cyprus,"35,159698","33,488300"
LIN,Linate,Italy,"45,441700","9,277800"
ISB,Benazir Bhutto Intl,Pakistan,"33,548302","72,824997"
NKG,Lukou International,China,"31,995300","118,811699"
TAS,Tashkent-Vostochny International,Uzbekistan,"41,316700","69,383301"
LPL,John Lennon Airport,United Kingdom,"53,338299","-2,866700"
NCL,Newcastle International Airport,United Kingdom,"55,037800","-1,686700"
PSA,Galileo Galilei,Italy,"43,680599","10,392800"
HRG,Hurghada International Airport,Egypt,"27,185801","33,798901"
HYD,Rajiv Gandhi International,India,"17,250000","78,416702"
LHE,Allama Iqbal Intl,Pakistan,"31,520800","74,402802"
OKA,Naha,Japan,"26,199076","127,644676"
CXR,Cam Rahn International,Vietnam,"11,993600","109,224999"
CNX,Chiang Mai Intl,Thailand,"18,771900","98,968300"
PVR,G. Diaz Ordaz Intl,Mexico,"20,681900","-105,248299"
GUA,La Aurora International,Guatemala,"14,581900","-90,527496"
BVA,Beauvais-Tille,France,"49,455799","2,112500"
BGW,Baghdad International Airport,Iraq,"33,266701","44,500000"
SVQ,Sevilla Airport,Spain,"37,415001","-5,897500"
LOS,Murtala Muhammed International,Nigeria,"6,588900","3,326400"
CTA,Fontanarossa,Italy,"37,402802","14,923100"
BKI,Kota Kinabalu International,Malaysia,"5,940800","116,050003"
GUM,Antonio B. Won Pat International Airport,United States,"13,481700","144,793304"
TSN,Binhai International,China,"39,118900","117,346901"
TIA,Rinas,Albania,"41,416901","19,716700"
CKG,Jiangbei International,China,"29,495800","106,359703"
CCU,Subhas Chandra Bose Airport,India,"22,652500","88,449203"
XIY,Xianyang International,China,"34,366699","108,699997"
SHA,Hongqiao International,China,"31,198099","121,336403"
LBA,Leeds/Bradford Airport,United Kingdom,"53,865299","-1,654700"
NUE,Nuremberg,Germany,"49,499699","11,081700"
KTW,Pyrzowice,Poland,"50,483299","19,083300"
FUE,Fuerteventura,Spain,"28,448099","-13,861900"
ZAG,Franjo Tudman,Croatia,"45,743099","16,070299"
ADB,Adnan Menderes,Turkey,"38,294300","27,156200"
BLL,Billund,Denmark,"55,740299","9,152800"
KRT,Khartoum Civil International,Sudan,"15,599400","32,556099"
TSA,Songshan,Taiwan,"25,071100","121,543602"
TLL,Lennart Meri,Estonia,"59,416698","24,816700"
EVN,Zvartnots International Airport,Armenia,"40,154202","44,401402"
WUH,Tianhe International,China,"30,597799","114,242798"
RHO,Diagoras,Greece,"36,384701","28,118299"
ALA,Almaty International,Kazakhstan,"43,349998","77,033302"
TAE,Daegu International,South Korea,"35,890301","128,660599"
KIV,Kishinev International,Moldova,"46,933300","28,933300"
CSX,Huanghua International Airport,China,"28,196600","113,220703"
ABJ,Felix Houphouet-Boigny,Ivory Coast (Cote d'Ivoire),"5,256400","-3,926900"
CCJ,Calicut International,India,"11,133300","75,952797"
LGA,La Guardia,United States,"40,779400","-73,875801"
SPU,Split Airport,Croatia,"43,525002","16,292200"
CPT,Cape Town Intl.,South Africa,"-33,964699","18,602200"
WMI,Modlin,Poland,"52,451099","20,651699"
CJU,Jeju International,South Korea,"33,505600","126,495003"
FLR,Peretola,Italy,"43,810299","11,197800"
WRO,Strachowice,Poland,"51,099998","16,883301"
ESB,Esenboga,Turkey,"40,129200","32,996700"
PHX,Sky Harbor Intl,United States,"33,436100","-112,008904"
BIO,Bilbao Airport,Spain,"43,302799","-2,921700"
DSS,Blaise Diagne International Airport,Senegal,"14,671100","-17,066900"
PFO,Paphos International,Cyprus,"34,719399","32,484699"
ORK,Cork International,Ireland,"51,840801","-8,488900"
ACC,Kotoka International,Ghana,"5,595300","-0,170800"
SUB,Juanda,Indonesia,"-7,218100","112,720802"
POS,Piarco International,Trinidad and Tobago,"10,591700","-61,339699"
UIO,Mariscal Sucre Intl,Ecuador,"-0,137800","-78,486099"
BGO,Flesland,Norway,"60,293598","5,219400"
RUN,Roland Garros,Reunion,"-20,877199","55,521400"
CFU,Ioannis Kapodistrias Airport,Greece,"39,601898","19,911699"
HBE,Borg el Arab Airport,Egypt,"30,919800","29,696301"
DBV,Dubrovnik,Croatia,"42,563301","18,265301"
BRI,Palese Macchie,Italy,"41,141102","16,788300"
DLC,Zhoushuizi International,China,"38,916698","121,650002"
GYE,Jose Joaquin de Olmedo,Ecuador,"-2,154400","-79,875603"
FOC,Changle International,China,"26,100000","119,283302"
IEV,Zhuliany International,Ukraine,"50,401901","30,450800"
KNO,Kuala Namu,Indonesia,"3,642200","98,885300"
DTM,Dortmund Airport,Germany,"51,516701","7,466700"
BGI,Grantley Adams International,Barbados,"13,072200","-59,493099"
CLJ,Napoca,Romania,"46,783298","23,683300"
DLM,Dalaman,Turkey,"36,712502","28,792200"
BWN,Brunei International,Brunei Darussalam,"4,925000","114,927803"
SKP,Skopje International Airport,Macedonia,"41,961899","21,618099"
NAN,Nadi International,Fiji,"-17,753099","177,447800"
VRN,Verona,Italy,"45,466702","10,933300"
NYO,Skavsta,Sweden,"58,789200","16,906900"
VTE,Wattay Intl,Laos,"17,984699","102,566704"
TRN,Citta Di Torino,Italy,"45,201099","7,648100"
BFS,Belfast Intl,United Kingdom,"54,654202","-6,225000"
KIN,Norman Manley Intl,Jamaica,"17,950001","-76,733299"
NJF,Al-Ashraf International Airport,Iraq,"31,990000","44,403000"
TRV,Trivandrum International,India,"8,479700","76,919701"
TSF,Venice-Treviso,Italy,"45,683300","12,083300"
MTY,Mariano Escobedo Intl,Mexico,"25,780001","-100,110001"
MVD,Carrasco,Uruguay,"-34,840000","-56,030300"
PRN,Pristina International,Serbia,"42,573601","21,035601"
LAD,4 De Fevereiro,Angola,"-8,853100","13,236100"
BTS,M.R. Stefanik,Slovakia,"48,166698","17,216700"
TSE,Astana International,Kazakhstan,"51,200001","71,449997"
CGO,Xinzheng International,China,"34,750000","113,666702"
SEN,Southend,United Kingdom,"51,572800","0,701400"
SHE,Taoxian International,China,"41,799999","123,449997"
EBB,Entebbe International,Uganda,"0,042500","32,438099"
KGL,Kigali International Airport,Rwanda,"-1,967800","30,139999"
EBL,Erbil International Airport,Iraq,"36,233299","43,966702"
KOS,Sihanoukville International,Cambodia,"10,579500","103,636902"
LJU,Joze Pucnik,Slovenia,"46,224701","14,460800"
BOJ,Burgas,Bulgaria,"42,569698","27,515301"
RTM,Rotterdam Airport,Netherlands,"51,958302","4,444400"
CHC,Christchurch Intl,New Zealand,"-43,488300","172,533295"
MDE,Jose Marie Cordova,Colombia,"6,220800","-75,593102"
SXM,Prinses Juliana International,Sint Maarten,"18,043600","-63,111900"
KGS,Ippokratis Airport,Greece,"36,793301","27,091700"
KLO,Kalibo International,Philippines,"11,682800","122,377197"
PMO,Punta Raisi,Italy,"38,181099","13,105000"
GCM,Owen Roberts Intl,Cayman Islands,"19,292500","-81,358101"
BWI,Baltimore/Wash Intl,United States,"39,174999","-76,669998"
TRF,Torp,Norway,"59,187801","10,260300"
PTP,Le Raizet,Guadeloupe,"16,267500","-61,526402"
GRO,Costa Brava,Spain,"41,909199","2,763300"
CRK,Clark Intl Airport,Philippines,"15,180600","120,556702"
SLC,Salt Lake City Intl,United States,"40,784199","-111,966904"
CCS,Simon Bolivar International,Venezuela,"10,605300","-66,988098"
LIR,D. Oduber Quiros Intl,Costa Rica,"10,589700","-85,550003"
STI,Cibao Intl,Dominican Republic,"19,469200","-70,700302"
FMM,Allgaeu Airport,Germany,"47,992500","10,243600"
AMD,S. VallabhBhai Patel,India,"23,066401","72,624199"
KBL,Kabul International,Afghanistan,"34,563900","69,213898"
LEJ,Leipzig,Germany,"51,400002","12,416700"
SNN,Shannon International,Ireland,"52,700600","-8,918600"
SSH,Sharm el-Sheikh Interrnational,Egypt,"27,975000","34,389702"
DAR,Julius Nyerere International,Tanzania,"-6,875300","39,201900"
YEG,Edmonton Intl,Canada,"53,304199","-113,591698"
POZ,Lawica,Poland,"52,416901","16,883301"
PAP,Toussaint Louverture,Haiti,"18,560600","-72,328903"
SZG,Salzburg,Austria,"47,793098","13,005600"
SVG,Sola,Norway,"58,879700","5,634700"
OVB,Tolmachevo,Russian Federation,"55,016701","82,650002"
AGA,Agadir-Al Massira Airport,Morocco,"30,380600","-9,545800"
LWO,Lviv International,Ukraine,"49,816700","23,850000"
FRU,Manas International,Kyrgyzstan,"42,849998","74,583298"
SVX,Koltsovo Airport,Russian Federation,"56,733299","60,799999"
PLS,Providenciales Intl,Turks and Caicos Islands,"21,772800","-72,268303"
NNG,Wuxu International,China,"22,609600","108,171700"
MAH,Menorca,Spain,"39,861401","4,215300"
CUR,Hato International,Curacao,"12,194200","-68,960602"
CWL,Cardiff-Wales,United Kingdom,"51,397499","-3,346700"
FNC,Madeira Airport,Portugal,"32,694199","-16,778099"
RMQ,Cingcyuangang,Taiwan,"24,150000","120,680000"
VVO,Vladivostok,Russian Federation,"43,216702","131,666702"
OLB,Costa Smeralda,Italy,"40,897202","9,522200"
HAK,Meilan International,China,"19,938601","110,462196"
VVI,Viru Viru Intl,Bolivia,"-17,641100","-63,133900"
ORN,Ahmed Ben Bella,Algeria,"35,627800","-0,610600"
BRE,Bremen,Germany,"53,046700","8,790000"
FDF,Martinique A. Cesaire,Martinique,"14,589700","-61,006100"
ASU,Silvio Pettirossi Intl,Paraguay,"-25,239201","-57,519199"
BZE,Belize International,Belize,"17,536100","-88,309998"
TNA,Yaoqiang International,China,"36,750000","116,966698"
CHQ,Ioannis Daskalogiannis Airport,Greece,"35,531666","24,149723"
YOW,Macdonald-Cartier Intl,Canada,"45,320801","-75,672798"
FEZ,Sais,Morocco,"33,928600","-4,976700"
DYU,Dushanbe International,Tajikistan,"38,543598","68,823601"
CAG,Elmas,Italy,"39,247200","9,061100"
TRZ,Tiruchchirappalli,India,"10,763900","78,708900"
MDL,Mandalay International,Myanmar,"21,939199","96,091400"
SAN,San Diego International Airport,United States,"32,733601","-117,186699"
HHN,Hahn,Germany,"49,950001","7,266700"
TPA,Tampa International,United States,"27,973101","-82,535301"
SEZ,Seychelles Intl,Seychelles,"-4,672200","55,522499"
VRA,Juan G. Gomez Intl,Cuba,"23,125799","-81,297203"
KBV,Krabi Airport,Thailand,"8,099100","98,983597"
NGB,Lishe International,China,"29,833300","121,533302"
BDA,L.F. Wade International,Bermuda,"32,365299","-64,690002"
RYG,Moss Airport,Norway,"59,378799","10,785500"
DJE,Zarsis Airport,Tunisia,"33,874199","10,783300"
ZIA,Zhukovsky,Russian Federation,"55,553299","38,151699"
TGD,Golubovci,Montenegro,"42,358299","19,251900"
SAP,Ramon V. Morales Intl,Honduras,"15,451400","-87,924202"
DWC,Al Maktoum Intl Emirates,United Arab Emirates,"24,918100","55,175301"
PEW,Bacha Khan Intl,Pakistan,"33,994400","71,516701"
HRE,RG Mugabe International Airport,Zimbabwe,"-17,922800","31,101400"
TNG,Boukhalef,Morocco,"35,728298","-5,917500"
SJC,San Jose Municipal,United States,"37,361099","-121,925598"
SJJ,Sarajevo International Airport,Bosnia and Herzegovina,"43,818901","18,338100"
ZTH,Dionisios Solomos,Greece,"37,755798","20,888300"
ULN,Chinggis Khaan Intl,Mongolia,"47,849998","106,766701"
HOU,William P Hobby,United States,"29,645000","-95,278603"
MIR,Habib Bourguiba International Airport,Tunisia,"35,756901","10,752800"
CLO,Alfonso B Aragon International,Colombia,"3,546100","-76,385002"
SJU,Luis Munoz Marin Int,United States,"18,441401","-66,002197"
ODS,Odessa International,Ukraine,"46,429798","30,677300"
VAR,Varna,Bulgaria,"43,231899","27,825001"
DSA,Robin Hood,United Kingdom,"53,490002","-1,000000"
BJV,Milas Airport,Turkey,"37,250000","27,650000"
FKB,Baden Airpark,Germany,"48,779446","8,080556"
NRN,Weeze Airport,Germany,"51,603100","6,144200"
WDH,Windhoek Intl,Namibia,"-22,483299","17,466700"
ADL,Adelaide International,Australia,"-34,948299","138,534699"
SYX,Phoenix International,China,"18,303499","109,412399"
WUX,Sunan Shuofang,China,"31,583300","120,316704"
JJN,Jinjiang,China,"24,900000","118,583298"
ABZ,Dyce,United Kingdom,"57,204201","-2,198100"
MUX,Multan International,Pakistan,"30,202801","71,418098"
MGA,Augusto C Sandino Intl,Nicaragua,"12,141100","-86,168602"
TSR,Timisoara,Romania,"45,816700","21,333300"
SID,Amilcar Cabral Intl,Cape Verde,"16,745001","-22,951700"
YTZ,Billy Bishop Toronto City Airport,Canada,"43,650002","-79,383301"
CTG,Rafael Nunez International,Colombia,"10,446700","-75,510597"
ASB,Ashgabat International,Turkmenistan,"37,981701","58,360802"
KUN,Kaunas International,Lithuania,"54,900002","23,916700"
LFW,G. Eyadema International,Togo,"6,162500","1,254200"
MHD,Shahid Hashemi Nejad,Iran,"36,236698","59,641701"
ANU,V C Bird Intl,Antigua and Barbuda,"17,137501","-61,790001"
BJX,Del Bajio International,Mexico,"20,993500","-101,480797"
YNT,Penglai International,China,"37,549999","121,333298"
TIV,Tivat,Montenegro,"42,403599","18,725599"
RBA,Sale,Morocco,"34,049999","-6,756900"
MDW,Chicago Midway International,United States,"41,785000","-87,751900"
PDX,Portland Intl,United States,"45,589199","-122,595001"
WLG,Wellington Intl,New Zealand,"-41,323898","174,801407"
URC,Diwopu International,China,"43,906899","87,474098"
OOL,Coolangatta,Australia,"-28,166700","153,508301"
BKO,Senou International,Mali,"12,632200","-8,026700"
GRZ,Graz,Austria,"46,993301","15,440000"
LUN,Lusaka Intl,Zambia,"-15,329200","28,452801"
ATQ,Sri Guru Ram Dass Jee,India,"31,706900","74,797203"
ABV,Nnamdi Azikiwe International Airport,Nigeria,"9,005600","7,266100"
TIP,Tripoli Intl,Libya,"32,661400","13,160000"
DLA,Douala International,Cameroon,"4,013300","9,709200"
RMU,Corvera International,Spain,"37,793301","-1,140300"
YWG,J.A. Richardson Intl,Canada,"49,900002","-97,233299"
JMK,Mykonos,Greece,"37,435001","25,348101"
VCP,Viracopos-Campinas Intl,Brazil,"-23,006701","-47,134399"
CGP,Shah Amanat International Airport,Bangladesh,"22,257500","91,825600"
JTR,Santorini,Greece,"36,399166","25,479445"
SPN,Saipan International,United States,"15,120300","145,730301"
REU,Reus,Spain,"41,150002","1,169400"
KHN,Changbei International,China,"28,683300","115,883301"
HRB,Taiping International,China,"45,622101","126,248299"
IAS,Iasi,Romania,"47,183300","27,600000"
TNR,Ivato International,Madagascar,"-18,796400","47,486099"
KRR,Krasnodar,Russian Federation,"45,033298","39,150002"
SKT,Sialkot International,Pakistan,"32,533298","74,500000"
INN,Innsbruck airport,Austria,"47,260300","11,343900"
AEP,Jorge Newbery,Argentina,"-34,558899","-58,415798"
BSR,Basrah International,Iraq,"30,555599","47,791401"
KUT,Kutaisi International Airport,Georgia,"42,250000","42,700001"
ZNZ,Zanzibar International,Tanzania,"-6,219200","39,221901"
KZN,Kazan International,Russian Federation,"55,783600","49,216702"
ADA,Adana Sakirpasa Airport,Turkey,"36,983601","35,280800"
NOC,Ireland West Knock Airport,Ireland,"53,916698","-8,816700"
HFE,Xinqiao International,China,"31,992800","116,973396"
